ITEM_ID,CATEGORY,NAME,EXISTS,VERIFIED,SOURCE,DESIGN_MAY_SHOW,DESIGN_MAY_NOT_INVENT,NOTES
ST-19,STATE,SCR-04 / staff>=staffNeeded(),YES,YES,pachinko/index.html:1112-1113,YES,状態の新設・削除,充足の表示
ST-20,STATE,SCR-04 / staff<=1,YES,YES,pachinko/index.html:1114,YES,状態の新設・削除,解雇操作が無効
ST-21,STATE,SCR-04 / ad!=='none',YES,YES,"pachinko/index.html:1131,1140-1142",YES,状態の新設・削除,選択中プランと効果を表示
ST-22,STATE,SCR-04 / ad==='none',YES,YES,pachinko/index.html:1139-1141,YES,状態の新設・削除,未設定の説明を表示
ST-23,STATE,SCR-04 / 直近購入あり+CD明け+資金充足,YES,YES,pachinko/index.html:1150-1151,YES,状態の新設・削除,フェア開催が有効
ST-24,STATE,SCR-04 / grandOpen===true,YES,YES,pachinko/index.html:1149,YES,状態の新設・削除,予約済み表示で無効
ST-25,STATE,SCR-04 / 直近2日に購入なし,YES,YES,"pachinko/index.html:1145,1150",YES,状態の新設・削除,導入直後のみ可の表示で無効
ST-26,STATE,SCR-04 / day-lastGrand<7,YES,YES,"pachinko/index.html:1146,1151",YES,状態の新設・削除,残り日数表示で無効
ST-27,STATE,SCR-04 / money<300000,YES,YES,pachinko/index.html:1152,YES,状態の新設・削除,資金不足表示で無効
ST-28,STATE,SCR-04 / cap<60かつ資金充足,YES,YES,pachinko/index.html:1121-1122,YES,状態の新設・削除,拡張が有効
ST-29,STATE,SCR-04 / money<expandCost(),YES,YES,pachinko/index.html:1122,YES,状態の新設・削除,拡張が無効
ST-30,STATE,SCR-04 / cap>=60,YES,YES,pachinko/index.html:1116-1119,YES,状態の新設・削除,拡張上限到達で無効
ST-31,STATE,SCR-04 / debt+100万>creditLimit(),YES,YES,pachinko/index.html:1157,YES,状態の新設・削除,借入が無効
ST-32,STATE,SCR-04 / debt<=0 または資金不足,YES,YES,pachinko/index.html:1158,YES,状態の新設・削除,返済が無効
ST-33,STATE,SCR-04 / rate==='normal',YES,YES,pachinko/index.html:1163-1170,YES,状態の新設・削除,等価交換が選択状態+説明
ST-34,STATE,SCR-04 / rate==='low',YES,YES,pachinko/index.html:1163-1172,YES,状態の新設・削除,低換金が選択状態+説明
ST-35,STATE,SCR-04 / heat<=5,YES,YES,pachinko/index.html:1174-1179,YES,状態の新設・削除,平常の説明
ST-36,STATE,SCR-04 / heat>5,YES,YES,pachinko/index.html:1176-1177,YES,状態の新設・削除,警戒レベルの説明
ST-37,STATE,SCR-04 / heat>8,YES,YES,"pachinko/index.html:1174-1175,795",YES,状態の新設・削除,危険の説明
ST-38,STATE,SCR-04 / 実績が解除済,YES,YES,pachinko/index.html:1185-1189,YES,状態の新設・削除,通常表示
ST-39,STATE,SCR-04 / 実績が未解除,YES,YES,pachinko/index.html:1186,YES,状態の新設・削除,減衰表示(locked)
ST-40,STATE,SCR-04 / やり直し操作,YES,YES,pachinko/index.html:1841,YES,状態の新設・削除,OSの確認ダイアログ
ST-41,STATE,SCR-05 / history.length===0,YES,YES,"pachinko/index.html:1197-1200,1254-1257",YES,状態の新設・削除,推移と表の空状態案内
ST-42,STATE,SCR-05 / history.length>0,YES,YES,"pachinko/index.html:1201-1250,1258-1268",YES,状態の新設・削除,推移と明細を表示
ST-43,STATE,SCR-05 / 推移上の要素をポイント,YES,YES,pachinko/index.html:1240-1250,YES,状態の新設・削除,日付と金額の詳細を表示
ST-44,STATE,SCR-07 / 通常の営業終了,YES,YES,pachinko/index.html:1321-1334,YES,状態の新設・削除,当日の収支と内訳を提示
ST-45,STATE,SCR-07 / rec.day%7===0かつ履歴7件以上,YES,YES,pachinko/index.html:954-956,YES,状態の新設・削除,週次レポートを追加提示
ST-46,STATE,SCR-07 / cleared かつ clearDay===rec.day,YES,YES,"pachinko/index.html:1315-1318,951",YES,状態の新設・削除,達成告知と評価ランク
ST-47,STATE,SCR-07 / money<0,YES,YES,"pachinko/index.html:1312-1314,1333",YES,状態の新設・削除,倒産告知。閉じる操作を出さない
ST-48,STATE,SCR-10 / 試打開始直後 / 1G完了,YES,YES,"pachinko/index.html:1434-1452,1465-1466",YES,状態の新設・削除,停止操作が無効、レバー有効
ST-49,STATE,SCR-10 / レバーON後,YES,YES,pachinko/index.html:1441-1451,YES,状態の新設・削除,3リールが回転表示、レバー無効
ST-50,STATE,SCR-10 / big/reg成立,YES,YES,pachinko/index.html:1467-1477,YES,状態の新設・削除,告知ランプ点灯+当選文+獲得枚数
ST-51,STATE,SCR-10 / grape/cherry/replay成立,YES,YES,pachinko/index.html:1470-1472,YES,状態の新設・削除,小役の獲得表示
ST-52,STATE,SCR-10 / none,YES,YES,pachinko/index.html:1464-1483,YES,状態の新設・削除,獲得表示なし
ST-53,STATE,SCR-10 / credits<3,YES,YES,pachinko/index.html:1435,YES,状態の新設・削除,レバーONが無反応
ST-54,STATE,SCR-11 / 試打開始直後 / 演出完了,YES,YES,"pachinko/index.html:1558-1560,1591",YES,状態の新設・削除,回転操作が有効
ST-55,STATE,SCR-11 / 回転中(busy),YES,YES,"pachinko/index.html:1559,1566-1571",YES,状態の新設・削除,3桁が回転表示、回転操作を受け付けない
ST-56,STATE,SCR-11 / リーチ成立(当選または1/12),YES,YES,pachinko/index.html:1578-1585,YES,状態の新設・削除,リーチ告知を表示
ST-57,STATE,SCR-11 / 当選(1/denom),YES,YES,pachinko/index.html:1598-1606,YES,状態の新設・削除,大当り告知と獲得玉
ST-58,STATE,SCR-11 / RUSH継続(rushPct),YES,YES,pachinko/index.html:1608-1616,YES,状態の新設・削除,連チャン数と獲得玉を更新
ST-59,STATE,SCR-11 / RUSH終了,YES,YES,pachinko/index.html:1618-1626,YES,状態の新設・削除,総連チャン数と総獲得玉を提示
ST-60,STATE,SCR-11 / オートON,YES,YES,pachinko/index.html:1632-1639,YES,状態の新設・削除,一定間隔で自動的に回転
ST-61,STATE,SCR-11 / balls<spinCost(),YES,YES,pachinko/index.html:1561,YES,状態の新設・削除,玉切れの通知
ST-62,STATE,SCR-12 / 未解除実績の条件成立,YES,YES,pachinko/index.html:698-712,YES,状態の新設・削除,実績名の一時通知が出現
FN-01,FUNCTION,機能領域の切替,YES,YES,pachinko/index.html:1779-1786,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-02,FUNCTION,出玉設定の変更,YES,YES,pachinko/index.html:1031-1039,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-03,FUNCTION,設置台の試打起動,YES,YES,pachinko/index.html:1040-1042,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-04,FUNCTION,設置台の売却,YES,YES,pachinko/index.html:1043-1052,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-05,FUNCTION,カタログ機種の試打起動,YES,YES,pachinko/index.html:1081-1083,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-06,FUNCTION,新台の購入,YES,YES,pachinko/index.html:1091-1101,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-07,FUNCTION,スタッフの雇用,YES,YES,pachinko/index.html:1802,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-08,FUNCTION,スタッフの解雇,YES,YES,pachinko/index.html:1803,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-09,FUNCTION,広告プランの選択,YES,YES,pachinko/index.html:1126-1132,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-10,FUNCTION,新装開店フェアの予約,YES,YES,pachinko/index.html:1812-1820,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=CONTEXTUAL
FN-11,FUNCTION,店舗の拡張,YES,YES,pachinko/index.html:1804-1811,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-12,FUNCTION,借入,YES,YES,pachinko/index.html:1822-1829,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-13,FUNCTION,返済,YES,YES,pachinko/index.html:1830-1838,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-14,FUNCTION,交換率ポリシーの切替,YES,YES,pachinko/index.html:1155-1162,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-15,FUNCTION,手動セーブ,YES,YES,pachinko/index.html:1839,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=OPTIONAL
FN-16,FUNCTION,最初からやり直す,YES,YES,pachinko/index.html:1840-1842,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-17,FUNCTION,1営業日の実行,YES,YES,pachinko/index.html:1788-1800,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-18,FUNCTION,当日結果の提示,YES,YES,pachinko/index.html:1300-1335,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-19,FUNCTION,週次レポートの提示,YES,YES,pachinko/index.html:954-985,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=CONTEXTUAL
FN-20,FUNCTION,クリア判定と評価,YES,YES,pachinko/index.html:945,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=CONTEXTUAL
FN-21,FUNCTION,倒産の確定と操作封鎖,YES,YES,pachinko/index.html:1276-1283,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=CONTEXTUAL
FN-22,FUNCTION,損益推移の提示,YES,YES,pachinko/index.html:1194-1250,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-23,FUNCTION,営業成績の提示,YES,YES,pachinko/index.html:1251-1269,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-24,FUNCTION,実績の解除と一時通知,YES,YES,pachinko/index.html:698-712,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=CONTEXTUAL
FN-25,FUNCTION,実績一覧の提示,YES,YES,pachinko/index.html:1180-1192,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=OPTIONAL
FN-26,FUNCTION,経営ステータスの常時提示,YES,YES,pachinko/index.html:986-999,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-27,FUNCTION,難易度選択によるゲーム開始,YES,YES,pachinko/index.html:1752-1758,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-28,FUNCTION,提示の閉了と復帰,YES,YES,pachinko/index.html:1285-1298,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-29,FUNCTION,スロット遊技: 開始操作,YES,YES,pachinko/index.html:1434-1452,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-30,FUNCTION,スロット遊技: リール停止と結果確定,YES,YES,pachinko/index.html:1454-1485,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-31,FUNCTION,スロット遊技: 試打設定の変更,YES,YES,pachinko/index.html:1489,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=CONTEXTUAL
FN-32,FUNCTION,スロット遊技: メダル補充,YES,YES,pachinko/index.html:1490,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=CONTEXTUAL
FN-33,FUNCTION,パチンコ遊技: 回転操作,YES,YES,pachinko/index.html:1558-1596,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-34,FUNCTION,パチンコ遊技: 連続大当りの継続抽選,YES,YES,pachinko/index.html:1598-1629,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=REQUIRED
FN-35,FUNCTION,パチンコ遊技: 自動回転,YES,YES,pachinko/index.html:1632-1639,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=CONTEXTUAL
FN-36,FUNCTION,パチンコ遊技: 釘変更と玉補充,YES,YES,pachinko/index.html:1640-1641,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=CONTEXTUAL
FN-37,FUNCTION,自動保存と自動復元(保存値の無害化),YES,YES,pachinko/index.html:1652-1743,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=NONE
FN-38,FUNCTION,オフライン動作(Service Worker),YES,YES,pachinko/index.html:1845-1847,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=NONE
FN-39,FUNCTION,デスクトップ起動(Electron),YES,YES,pachinko/desktop/main.js:1-46,YES,機能の追加・削除・意味変更,DESIGN_VISIBILITY=NONE
ACT-01,ACTION,営業開始,YES,YES,pachinko/index.html:369,YES,確認の除去・破壊性の変更,freq=VERY_HIGH(毎日) destructive=NO
ACT-02,ACTION,ホール,YES,YES,pachinko/index.html:258,YES,確認の除去・破壊性の変更,freq=HIGH destructive=NO
ACT-03,ACTION,新台購入,YES,YES,pachinko/index.html:259,YES,確認の除去・破壊性の変更,freq=MEDIUM destructive=NO
ACT-04,ACTION,経営,YES,YES,pachinko/index.html:260,YES,確認の除去・破壊性の変更,freq=MEDIUM destructive=NO
ACT-05,ACTION,帳簿,YES,YES,pachinko/index.html:261,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-06,ACTION,設定1〜6(台ごと),YES,YES,pachinko/index.html:1031-1039,YES,確認の除去・破壊性の変更,freq=VERY_HIGH(毎日・台数分) destructive=NO
ACT-07,ACTION,試打(台ごと),YES,YES,pachinko/index.html:1040-1042,YES,確認の除去・破壊性の変更,freq=MEDIUM destructive=NO
ACT-08,ACTION,売却(台ごと),YES,YES,pachinko/index.html:1043-1052,YES,確認の除去・破壊性の変更,freq=LOW destructive=YES
ACT-09,ACTION,試打(カタログ),YES,YES,pachinko/index.html:1081-1083,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-10,ACTION,導入する,YES,YES,pachinko/index.html:1084-1101,YES,確認の除去・破壊性の変更,freq=MEDIUM destructive=NO
ACT-11,ACTION,雇用する (+1人),YES,YES,pachinko/index.html:290,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-12,ACTION,解雇する (−1人),YES,YES,pachinko/index.html:291,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-13,ACTION,広告プラン(4種),YES,YES,pachinko/index.html:1126-1132,YES,確認の除去・破壊性の変更,freq=MEDIUM destructive=NO
ACT-14,ACTION,フェアを開催する,YES,YES,pachinko/index.html:302,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-15,ACTION,+5台 拡張する,YES,YES,pachinko/index.html:308,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-16,ACTION,借りる (+100万),YES,YES,pachinko/index.html:318,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-17,ACTION,返済する (−100万),YES,YES,pachinko/index.html:319,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-18,ACTION,交換率(2種),YES,YES,pachinko/index.html:1155-1162,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-19,ACTION,セーブ,YES,YES,pachinko/index.html:340,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-20,ACTION,最初からやり直す,YES,YES,pachinko/index.html:341,YES,確認の除去・破壊性の変更,freq=VERY_LOW destructive=YES
ACT-21,ACTION,閉じる(結果),YES,YES,pachinko/index.html:1333,YES,確認の除去・破壊性の変更,freq=VERY_HIGH(毎日) destructive=NO
ACT-22,ACTION,わかった(台0台案内),YES,YES,pachinko/index.html:1794,YES,確認の除去・破壊性の変更,freq=VERY_LOW destructive=NO
ACT-23,ACTION,最初からやり直す(倒産),YES,YES,pachinko/index.html:1281,YES,確認の除去・破壊性の変更,freq=VERY_LOW destructive=YES
ACT-24,ACTION,のんびり/標準/修羅,YES,YES,pachinko/index.html:1770-1774,YES,確認の除去・破壊性の変更,freq=VERY_LOW(開始時) destructive=NO
ACT-25,ACTION,背景操作で閉じる,YES,YES,pachinko/index.html:1297,YES,確認の除去・破壊性の変更,freq=MEDIUM destructive=NO
ACT-26,ACTION,レバーON (3枚),YES,YES,pachinko/index.html:1487,YES,確認の除去・破壊性の変更,freq=VERY_HIGH(遊技中) destructive=NO
ACT-27,ACTION,STOP ×3,YES,YES,pachinko/index.html:1488,YES,確認の除去・破壊性の変更,freq=VERY_HIGH(遊技中) destructive=NO
ACT-28,ACTION,試打設定(スロット),YES,YES,pachinko/index.html:1489,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-29,ACTION,メダル補充 (+500),YES,YES,pachinko/index.html:1490,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-30,ACTION,試打を終える,YES,YES,pachinko/index.html:1389,YES,確認の除去・破壊性の変更,freq=MEDIUM destructive=NO
ACT-31,ACTION,回す,YES,YES,pachinko/index.html:1631,YES,確認の除去・破壊性の変更,freq=VERY_HIGH(遊技中) destructive=NO
ACT-32,ACTION,オート,YES,YES,pachinko/index.html:1632,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-33,ACTION,釘(設定),YES,YES,pachinko/index.html:1640,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-34,ACTION,玉補充 (+1000),YES,YES,pachinko/index.html:1641,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
ACT-35,ACTION,推移上の個別日を参照,YES,YES,pachinko/index.html:1240-1250,YES,確認の除去・破壊性の変更,freq=LOW destructive=NO
D-01,DATA_FIELD,営業日,YES,YES,"index.html:988,1663",YES,存在しない指標の追加,"range=1〜1,000,000(保存時クランプ)"
D-02,DATA_FIELD,資金,YES,YES,"index.html:989,1664,623",YES,存在しない指標の追加,range=-1e13〜1e13(保存時クランプ)。負値で倒産
D-03,DATA_FIELD,評判,YES,YES,"index.html:990,906,1665",YES,存在しない指標の追加,range=1〜100
D-04,DATA_FIELD,常連客数,YES,YES,"index.html:991,885-891,1666",YES,存在しない指標の追加,range=0〜100000(保存時)。実質は収容力×0.5が上限
D-05,DATA_FIELD,設置台数 / 最大設置数,YES,YES,index.html:992,YES,存在しない指標の追加,range=0〜60 / 10〜60
D-06,DATA_FIELD,借入残高,YES,YES,"index.html:993,1668",YES,存在しない指標の追加,range=0〜1e12。0のとき「なし」表記
D-07,DATA_FIELD,純資産,YES,YES,"index.html:676,994",YES,存在しない指標の追加,range=下限なし(資金+台資産-借金)
D-08,DATA_FIELD,今週のブーム名,YES,YES,"index.html:433-441,996",YES,存在しない指標の追加,range=TRENDS の7種のいずれか
D-09,DATA_FIELD,機種名,YES,YES,index.html:398-421,YES,存在しない指標の追加,range=CATALOG 10種
D-10,DATA_FIELD,機種の説明文,YES,YES,index.html:398-421,YES,存在しない指標の追加,range=CATALOG 10種
D-11,DATA_FIELD,機種スペック表記,YES,YES,index.html:398-421,YES,存在しない指標の追加,range=CATALOG 10種
D-12,DATA_FIELD,台の現在人気,YES,YES,"index.html:689,860,1043,1690",YES,存在しない指標の追加,range=15〜300(実運用は15〜165程度)
D-13,DATA_FIELD,台の前日収支(店側),YES,YES,"index.html:858,1014-1015",YES,存在しない指標の追加,range=負値あり
D-14,DATA_FIELD,台の前日客数,YES,YES,"index.html:859,1015",YES,存在しない指標の追加,range=0以上
D-15,DATA_FIELD,台の売却額,YES,YES,"index.html:674,1016",YES,存在しない指標の追加,"range=購入価格×0.45 = 180,000〜652,500"
D-16,DATA_FIELD,台の現在設定,YES,YES,"index.html:1031-1039,1689",YES,存在しない指標の追加,range=1〜6
D-17,DATA_FIELD,台の状態標識,YES,YES,index.html:1019-1023,YES,存在しない指標の追加,range=ブーム中 / シマ+N% / プロ警戒(最大3件同時)
D-18,DATA_FIELD,新台標識,YES,YES,"index.html:1011,1025",YES,存在しない指標の追加,range=導入から5日未満
D-19,DATA_FIELD,機種の集客力,YES,YES,"index.html:398-421,1073",YES,存在しない指標の追加,range=50〜118
D-20,DATA_FIELD,機種の人気低下の速さ,YES,YES,index.html:1073,YES,存在しない指標の追加,range=遅い / 普通 / 速い(decay 0.4〜2.0)
D-21,DATA_FIELD,機種の価格,YES,YES,"index.html:398-421,1075",YES,存在しない指標の追加,"range=400,000〜1,450,000"
D-22,DATA_FIELD,自店の同一機種設置数,YES,YES,"index.html:1062,1070",YES,存在しない指標の追加,range=1〜60
D-23,DATA_FIELD,スタッフ数と日給合計,YES,YES,"index.html:1110,868",YES,存在しない指標の追加,"range=1〜200 / 13,000×人数"
D-24,DATA_FIELD,必要スタッフ数,YES,YES,"index.html:680,1112",YES,存在しない指標の追加,range=ceil(台数/8) の下限1
D-25,DATA_FIELD,広告プラン名と費用,YES,YES,"index.html:425-430,1128",YES,存在しない指標の追加,"range=4種 / 0〜250,000"
D-26,DATA_FIELD,広告の効果表記,YES,YES,index.html:1142,YES,存在しない指標の追加,range=+12〜75人 / 4〜15%
D-27,DATA_FIELD,フェアの可否と理由,YES,YES,index.html:1145-1153,YES,存在しない指標の追加,range=5種(開催可 / 予約済 / 直後のみ / 残りN日 / 資金不足)
D-28,DATA_FIELD,最大設置数,YES,YES,index.html:1116,YES,存在しない指標の追加,range=10〜60(上限到達表記あり)
D-29,DATA_FIELD,拡張費用,YES,YES,"index.html:1107,1121",YES,存在しない指標の追加,"range=2,000,000〜5,000,000"
D-30,DATA_FIELD,借入可能枠,YES,YES,"index.html:677,1156",YES,存在しない指標の追加,"range=2,000,000〜(台資産×0.7+200万)"
D-31,DATA_FIELD,金利,YES,YES,"index.html:316,870",YES,存在しない指標の追加,range=0.25% 固定
D-32,DATA_FIELD,交換率ポリシー,YES,YES,index.html:1163-1172,YES,存在しない指標の追加,range=等価交換 / 低換金 (5.6枚)
D-33,DATA_FIELD,行政・組合の警戒度,YES,YES,"index.html:793-799,1174-1179",YES,存在しない指標の追加,range=0〜200(保存時)。表現上は0〜12を100%に対応
D-34,DATA_FIELD,実績(名称/条件/解除状態),YES,YES,"index.html:604-620,1180-1192",YES,存在しない指標の追加,range=15件固定
D-35,DATA_FIELD,帳簿: 日,YES,YES,index.html:1262,YES,存在しない指標の追加,range=1〜
D-36,DATA_FIELD,帳簿: 客数,YES,YES,index.html:1262,YES,存在しない指標の追加,range=0〜(収容力×1.15が上限)
D-37,DATA_FIELD,帳簿: 一般/常連/プロの内訳,YES,YES,index.html:1263,YES,存在しない指標の追加,range=各0以上
D-38,DATA_FIELD,帳簿: 売上,YES,YES,index.html:1264,YES,存在しない指標の追加,range=0以上
D-39,DATA_FIELD,帳簿: 出玉払出,YES,YES,"index.html:864,1264",YES,存在しない指標の追加,range=負値もあり得る(粗利が負のとき売上超)
D-40,DATA_FIELD,帳簿: 経費,YES,YES,"index.html:871,1264",YES,存在しない指標の追加,range=0以上(家賃+人件費+光熱費+広告+臨時+利息)
D-41,DATA_FIELD,帳簿: 純利益,YES,YES,"index.html:874,1265",YES,存在しない指標の追加,range=負値あり
D-42,DATA_FIELD,帳簿: 備考,YES,YES,"index.html:925,1266",YES,存在しない指標の追加,range=特日 / 週末 / 空
D-43,DATA_FIELD,損益推移(直近30日),YES,YES,index.html:1194-1239,YES,存在しない指標の追加,range=負値あり。最大/最小/0の3基準線
D-44,DATA_FIELD,推移の個別日詳細,YES,YES,index.html:1243-1244,YES,存在しない指標の追加,range=―
D-45,DATA_FIELD,当日の発生イベント文,YES,YES,"index.html:450-601,1302",YES,存在しない指標の追加,range=130種+システム文。1日0〜複数件
